Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
1945. Sum of Digits of String After Convert,Easy,277K,207.6K,74.9%,1.1K,102,"string, simulation"
1946. Largest Number After Mutating Substring,Medium,59.4K,21.6K,36.4%,219,7,"array, string, greedy"
1947. Maximum Compatibility Score Sum,Medium,42.9K,27K,62.9%,794,6,"array, dynamic-programming, backtracking, bit-manipulation, bitmask"
1948. Delete Duplicate Folders in System,Hard,16.9K,9.3K,54.8%,324,3,"array, hash-table, string, trie, hash-function"
1952. Three Divisors,Easy,129.5K,79.5K,61.4%,546,13,"math, enumeration, number-theory"
1953. Maximum Number of Weeks for Which You Can Work,Medium,61.3K,25.1K,41.0%,656,10,"array, greedy"
1954. Minimum Garden Perimeter to Collect Enough Apples,Medium,32.9K,18K,54.8%,389,2,"math, binary-search"
1955. Count Number of Special Subsequences,Hard,24.2K,12.5K,51.6%,521,4,"array, dynamic-programming"
1957. Delete Characters to Make Fancy String,Easy,69.7K,41.1K,58.9%,445,13,string
1958. Check if Move is Legal,Medium,30.1K,14.8K,49.2%,164,5,"array, matrix, enumeration"
1959. Minimum Total Space Wasted With K Resizing Operations,Medium,20.6K,8.9K,43.2%,570,5,"array, dynamic-programming"
1960. Maximum Product of the Length of Two Palindromic Substrings,Hard,12.7K,4K,31.3%,246,2,"string, rolling-hash, hash-function"
1961. Check If String Is a Prefix of Array,Easy,110.1K,58.2K,52.9%,494,15,"array, two-pointers, string"
1962. Remove Stones to Minimize the Total,Medium,174.1K,110.2K,63.3%,1.9K,81,"array, greedy, heap-priority-queue"
1963. Minimum Number of Swaps to Make the String Balanced,Medium,270.9K,211.3K,78.0%,2.4K,146,"two-pointers, string, stack, greedy"
1964. Find the Longest Valid Obstacle Course at Each Position,Hard,96.2K,60.4K,62.8%,1.8K,55,"array, binary-search, binary-indexed-tree"
1965. Employees With Missing Information,Easy,181.8K,131.9K,72.5%,709,43,database
1967. Number of Strings That Appear as Substrings in Word,Easy,95.7K,77.9K,81.4%,705,11,"array, string"
