Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
668. Kth Smallest Number in Multiplication Table,Hard,131.9K,68.9K,52.2%,2.2K,10,"math, binary-search"
669. Trim a Binary Search Tree,Medium,461.7K,306.2K,66.3%,5.9K,28,"tree, depth-first-search, binary-search-tree, binary-tree"
670. Maximum Swap,Medium,771K,397.1K,51.5%,4K,218,"math, greedy"
671. Second Minimum Node In a Binary Tree,Easy,453.6K,203.4K,44.8%,1.9K,34,"tree, depth-first-search, binary-tree"
672. Bulb Switcher II,Medium,49K,24.5K,50.1%,170,7,"math, bit-manipulation, depth-first-search, breadth-first-search"
673. Number of Longest Increasing Subsequence,Medium,518.3K,253.7K,48.9%,6.9K,52,"array, dynamic-programming, binary-indexed-tree, segment-tree"
674. Longest Continuous Increasing Subsequence,Easy,558.9K,282.9K,50.6%,2.4K,15,array
675. Cut Off Trees for Golf Event,Hard,207.9K,72.2K,34.7%,1.2K,32,"array, breadth-first-search, heap-priority-queue, matrix"
676. Implement Magic Dictionary,Medium,152.5K,88.1K,57.8%,1.4K,13,"hash-table, string, depth-first-search, design, trie"
677. Map Sum Pairs,Medium,216.5K,123.1K,56.9%,1.7K,15,"hash-table, string, design, trie"
678. Valid Parenthesis String,Medium,1.1M,414.8K,38.3%,6.3K,155,"string, dynamic-programming, stack, greedy"
679. 24 Game,Hard,166.6K,82.6K,49.6%,1.5K,19,"array, math, backtracking"
680. Valid Palindrome II,Easy,2M,826.9K,41.6%,8.3K,82,"two-pointers, string, greedy"
682. Baseball Game,Easy,521.8K,404.4K,77.5%,2.9K,48,"array, stack, simulation"
684. Redundant Connection,Medium,630.6K,401K,63.6%,6.3K,44,"depth-first-search, breadth-first-search, union-find, graph"
685. Redundant Connection II,Hard,215.8K,74.8K,34.7%,2.4K,28,"depth-first-search, breadth-first-search, union-find, graph"
686. Repeated String Match,Medium,516.9K,184.9K,35.8%,2.6K,24,"string, string-matching"
687. Longest Univalue Path,Medium,457K,191.9K,42.0%,4.3K,28,"tree, depth-first-search, binary-tree"
688. Knight Probability in Chessboard,Medium,289.3K,163K,56.3%,3.9K,57,dynamic-programming
689. Maximum Sum of 3 Non-Overlapping Subarrays,Hard,158.1K,79.7K,50.4%,2K,12,"array, dynamic-programming"
690. Employee Importance,Medium,326.5K,220.7K,67.6%,2.1K,22,"array, hash-table, tree, depth-first-search, breadth-first-search"
691. Stickers to Spell Word,Hard,163.2K,80.7K,49.4%,1.2K,15,"array, string, dynamic-programming, backtracking, bit-manipulation, bitmask"
692. Top K Frequent Words,Medium,1.1M,650.7K,58.6%,7.7K,37,"hash-table, string, trie, sorting, heap-priority-queue, bucket-sort, counting"
693. Binary Number with Alternating Bits,Easy,226K,142.4K,63.0%,1.4K,7,bit-manipulation
695. Max Area of Island,Medium,1.3M,949.8K,72.6%,10.1K,61,"array, depth-first-search, breadth-first-search, union-find, matrix"
696. Count Binary Substrings,Easy,331.4K,217.7K,65.7%,4K,40,"two-pointers, string"
697. Degree of an Array,Easy,399.5K,227.2K,56.9%,3.1K,62,"array, hash-table"
698. Partition to K Equal Sum Subsets,Medium,742.3K,282.9K,38.1%,7.2K,69,"array, dynamic-programming, backtracking, bit-manipulation, memoization, bitmask"
699. Falling Squares,Hard,63K,28.8K,45.7%,638,5,"array, segment-tree, ordered-set"
700. Search in a Binary Search Tree,Easy,1.2M,1M,80.8%,6K,40,"tree, binary-search-tree, binary-tree"
701. Insert into a Binary Search Tree,Medium,814.6K,599.9K,73.6%,5.9K,42,"tree, binary-search-tree, binary-tree"
703. Kth Largest Element in a Stream,Easy,1.2M,723.7K,59.4%,5.9K,180,"tree, design, binary-search-tree, heap-priority-queue, binary-tree, data-stream"
704. Binary Search,Easy,4.7M,2.7M,58.6%,12.1K,128,"array, binary-search"
705. Design HashSet,Easy,666.6K,447.7K,67.2%,3.8K,61,"array, hash-table, linked-list, design, hash-function"
706. Design HashMap,Easy,937.1K,614.7K,65.6%,5.2K,85,"array, hash-table, linked-list, design, hash-function"
707. Design Linked List,Medium,1.3M,362.6K,28.5%,2.7K,66,"linked-list, design"
709. To Lower Case,Easy,673.7K,564.3K,83.8%,1.9K,46,string
710. Random Pick with Blacklist,Hard,131.3K,44.1K,33.6%,870,9,"array, hash-table, math, binary-search, sorting, randomized"
712. Minimum ASCII Delete Sum for Two Strings,Medium,234K,152.9K,65.3%,4K,60,"string, dynamic-programming"
713. Subarray Product Less Than K,Medium,849.2K,441.2K,52.0%,6.9K,107,"array, binary-search, sliding-window, prefix-sum"
714. Best Time to Buy and Sell Stock with Transaction Fee,Medium,598.3K,415.6K,69.5%,7.2K,72,"array, dynamic-programming, greedy"
715. Range Module,Hard,177.2K,77.9K,44.0%,1.5K,23,"design, segment-tree, ordered-set"
717. 1-bit and 2-bit Characters,Easy,313.5K,141.6K,45.2%,879,28,array
718. Maximum Length of Repeated Subarray,Medium,623.3K,317.7K,51.0%,6.8K,28,"array, binary-search, dynamic-programming, sliding-window, rolling-hash, hash-function"
719. Find K-th Smallest Pair Distance,Hard,410.7K,186.4K,45.4%,3.7K,142,"array, two-pointers, binary-search, sorting"
720. Longest Word in Dictionary,Medium,304.6K,161.2K,52.9%,2K,25,"array, hash-table, string, trie, sorting"
721. Accounts Merge,Medium,753.8K,438.2K,58.1%,6.9K,105,"array, hash-table, string, depth-first-search, breadth-first-search, union-find, sorting"
722. Remove Comments,Medium,193.7K,75.5K,39.0%,723,12,"array, string"
724. Find Pivot Index,Easy,2.1M,1.2M,59.0%,8.5K,170,"array, prefix-sum"
725. Split Linked List in Parts,Medium,453.1K,317.2K,70.0%,4.4K,139,linked-list
726. Number of Atoms,Hard,229.9K,149.8K,65.2%,1.9K,277,"hash-table, string, stack, sorting"
728. Self Dividing Numbers,Easy,328.9K,260.2K,79.1%,1.8K,24,math
729. My Calendar I,Medium,688.1K,401.5K,58.4%,4.6K,71,"array, binary-search, design, segment-tree, ordered-set"
730. Count Different Palindromic Subsequences,Hard,84.1K,38.8K,46.2%,1.9K,7,"string, dynamic-programming"
731. My Calendar II,Medium,293K,183.7K,62.7%,2.1K,74,"array, binary-search, design, segment-tree, prefix-sum, ordered-set"
732. My Calendar III,Hard,133.7K,96K,71.8%,2K,44,"binary-search, design, segment-tree, prefix-sum, ordered-set"
733. Flood Fill,Easy,1.6M,1M,65.1%,8.6K,152,"array, depth-first-search, breadth-first-search, matrix"
735. Asteroid Collision,Medium,1.4M,620.2K,44.8%,8.2K,241,"array, stack, simulation"
736. Parse Lisp Expression,Hard,44.7K,23.3K,52.1%,479,9,"hash-table, string, stack, recursion"
738. Monotone Increasing Digits,Medium,117.8K,57.1K,48.5%,1.3K,11,"math, greedy"
739. Daily Temperatures,Medium,1.7M,1.1M,66.5%,13.4K,243,"array, stack, monotonic-stack"
740. Delete and Earn,Medium,649K,366.9K,56.5%,7.6K,73,"array, hash-table, dynamic-programming"
741. Cherry Pickup,Hard,232K,86.6K,37.3%,4.3K,40,"array, dynamic-programming, matrix"
743. Network Delay Time,Medium,1M,564.7K,55.4%,7.6K,50,"depth-first-search, breadth-first-search, graph, heap-priority-queue, shortest-path"
744. Find Smallest Letter Greater Than Target,Easy,1M,531.1K,53.0%,4.5K,87,"array, binary-search"
745. Prefix and Suffix Search,Hard,242.7K,99.9K,41.1%,2.3K,13,"array, hash-table, string, design, trie"
746. Min Cost Climbing Stairs,Easy,2M,1.3M,66.4%,11.6K,207,"array, dynamic-programming"
747. Largest Number At Least Twice of Others,Easy,535.7K,266.6K,49.8%,1.2K,31,"array, sorting"
748. Shortest Completing Word,Easy,136.8K,83K,60.7%,562,12,"array, hash-table, string"
749. Contain Virus,Hard,26.6K,13.7K,51.6%,398,19,"array, depth-first-search, breadth-first-search, matrix, simulation"
752. Open the Lock,Medium,552.2K,333.7K,60.4%,4.8K,116,"array, hash-table, string, breadth-first-search"
753. Cracking the Safe,Hard,107.6K,61.6K,57.3%,579,16,"depth-first-search, graph, eulerian-circuit"
754. Reach a Number,Medium,134.1K,58.3K,43.5%,1.8K,17,"math, binary-search"
756. Pyramid Transition Matrix,Medium,66.5K,35.2K,52.9%,538,14,"bit-manipulation, depth-first-search, breadth-first-search"
757. Set Intersection Size At Least Two,Hard,54.9K,24.6K,44.8%,719,6,"array, greedy, sorting"
761. Special Binary String,Hard,31.1K,19.4K,62.3%,726,11,"string, recursion"
762. Prime Number of Set Bits in Binary Representation,Easy,149.9K,105.2K,70.1%,726,14,"math, bit-manipulation"
763. Partition Labels,Medium,710.7K,569.1K,80.1%,10.4K,59,"hash-table, two-pointers, string, greedy"
764. Largest Plus Sign,Medium,126.6K,61.4K,48.5%,1.5K,13,"array, dynamic-programming"
765. Couples Holding Hands,Hard,114.6K,66.2K,57.8%,2.4K,22,"greedy, depth-first-search, breadth-first-search, union-find, graph"
766. Toeplitz Matrix,Easy,517.4K,357.9K,69.2%,3.6K,25,"array, matrix"
767. Reorganize String,Medium,785.8K,434K,55.2%,8.6K,59,"hash-table, string, greedy, sorting, heap-priority-queue, counting"
768. Max Chunks To Make Sorted II,Hard,126.5K,67.7K,53.5%,1.9K,16,"array, stack, greedy, sorting, monotonic-stack"
769. Max Chunks To Make Sorted,Medium,192.5K,113K,58.7%,2.8K,21,"array, stack, greedy, sorting, monotonic-stack"
770. Basic Calculator IV,Hard,20K,11.1K,55.6%,173,21,"hash-table, math, string, stack, recursion"
771. Jewels and Stones,Easy,1.3M,1.1M,88.9%,5.2K,58,"hash-table, string"
773. Sliding Puzzle,Hard,151.5K,98.9K,65.3%,2K,10,"array, breadth-first-search, matrix"
775. Global and Local Inversions,Medium,184.5K,78.3K,42.4%,1.8K,18,"array, math"
777. Swap Adjacent in LR String,Medium,214.2K,79.1K,36.9%,1.2K,19,"two-pointers, string"
778. Swim in Rising Water,Hard,302.2K,186.4K,61.7%,3.8K,57,"array, binary-search, depth-first-search, breadth-first-search, union-find, heap-priority-queue, matrix"
779. K-th Symbol in Grammar,Medium,459.2K,215.3K,46.9%,3.8K,80,"math, bit-manipulation, recursion"
780. Reaching Points,Hard,213.1K,71.3K,33.5%,1.5K,15,math
781. Rabbits in Forest,Medium,120.2K,63.6K,52.9%,1.4K,28,"array, hash-table, math, greedy"
782. Transform to Chessboard,Hard,36.4K,18.5K,50.7%,361,4,"array, math, bit-manipulation, matrix"
783. Minimum Distance Between BST Nodes,Easy,445.6K,266.7K,59.9%,3.5K,75,"tree, depth-first-search, breadth-first-search, binary-search-tree, binary-tree"
784. Letter Case Permutation,Medium,422.8K,315.1K,74.5%,4.7K,20,"string, backtracking, bit-manipulation"
785. Is Graph Bipartite?,Medium,1.1M,626.2K,56.6%,8.4K,91,"depth-first-search, breadth-first-search, union-find, graph"
786. K-th Smallest Prime Fraction,Medium,225.3K,153.8K,68.3%,2K,120,"array, two-pointers, binary-search, sorting, heap-priority-queue"
787. Cheapest Flights Within K Stops,Medium,1.6M,631.1K,39.7%,10.1K,178,"dynamic-programming, depth-first-search, breadth-first-search, graph, heap-priority-queue, shortest-path"
788. Rotated Digits,Medium,198.6K,112.1K,56.5%,754,18,"math, dynamic-programming"
789. Escape The Ghosts,Medium,50.9K,31.8K,62.5%,297,16,"array, math"
790. Domino and Tromino Tiling,Medium,307.1K,151.9K,49.5%,3.5K,84,dynamic-programming
791. Custom Sort String,Medium,656.6K,467.3K,71.2%,3.6K,136,"hash-table, string, sorting"
792. Number of Matching Subsequences,Medium,466.8K,237K,50.8%,5.5K,22,"array, hash-table, string, binary-search, dynamic-programming, trie, sorting"
793. Preimage Size of Factorial Zeroes Function,Hard,44.3K,20K,45.2%,441,4,"math, binary-search"
794. Valid Tic-Tac-Toe State,Medium,174.4K,60.5K,34.7%,551,17,"array, matrix"
795. Number of Subarrays with Bounded Maximum,Medium,137.7K,73.5K,53.4%,2.3K,13,"array, two-pointers"
796. Rotate String,Easy,647.5K,386.4K,59.7%,3.7K,43,"string, string-matching"
797. All Paths From Source to Target,Medium,673.5K,557.2K,82.7%,7.3K,55,"backtracking, depth-first-search, breadth-first-search, graph"
798. Smallest Rotation with Highest Score,Hard,28.5K,14.7K,51.6%,547,4,"array, prefix-sum"
799. Champagne Tower,Medium,271K,158K,58.3%,3.7K,48,dynamic-programming
801. Minimum Swaps To Make Sequences Increasing,Hard,206.6K,83.4K,40.4%,2.8K,9,"array, dynamic-programming"
802. Find Eventual Safe States,Medium,452.2K,291.4K,64.4%,5.9K,96,"depth-first-search, breadth-first-search, graph, topological-sort"
803. Bricks Falling When Hit,Hard,90K,31.5K,35.0%,1.1K,11,"array, union-find, matrix"
804. Unique Morse Code Words,Easy,440.8K,366K,83.0%,2.5K,35,"array, hash-table, string"
805. Split Array With Same Average,Hard,149.3K,38.1K,25.5%,1.3K,10,"array, math, dynamic-programming, bit-manipulation, bitmask"
806. Number of Lines To Write String,Easy,125.9K,87.5K,69.4%,612,20,"array, string"
807. Max Increase to Keep City Skyline,Medium,197.4K,170.3K,86.3%,2.6K,42,"array, greedy, matrix"
808. Soup Servings,Medium,128.5K,69K,53.7%,1K,70,"math, dynamic-programming, probability-and-statistics"
809. Expressive Words,Medium,262.3K,121.3K,46.3%,874,17,"array, two-pointers, string"
810. Chalkboard XOR Game,Hard,20.3K,12.5K,61.5%,230,10,"array, math, bit-manipulation, brainteaser, game-theory"
811. Subdomain Visit Count,Medium,311.2K,238.2K,76.5%,1.6K,14,"array, hash-table, string, counting"
812. Largest Triangle Area,Easy,92.3K,56.6K,61.3%,538,20,"array, math, geometry"
813. Largest Sum of Averages,Medium,104.6K,56.3K,53.8%,2.1K,15,"array, dynamic-programming, prefix-sum"
814. Binary Tree Pruning,Medium,350.8K,253.5K,72.3%,4.5K,18,"tree, depth-first-search, binary-tree"
815. Bus Routes,Hard,461.2K,218.4K,47.4%,4.3K,89,"array, hash-table, breadth-first-search"
816. Ambiguous Coordinates,Medium,54.4K,31K,57.0%,325,8,"string, backtracking, enumeration"
817. Linked List Components,Medium,178.6K,101.8K,57.0%,1.1K,67,"array, hash-table, linked-list"
818. Race Car,Hard,209.1K,91.7K,43.9%,1.9K,28,dynamic-programming
819. Most Common Word,Easy,851.5K,377.8K,44.4%,1.7K,33,"array, hash-table, string, counting"
820. Short Encoding of Words,Medium,162.6K,98.4K,60.5%,1.8K,13,"array, hash-table, string, trie"
821. Shortest Distance to a Character,Easy,273.9K,196.9K,71.9%,3.2K,31,"array, two-pointers, string"
822. Card Flipping Game,Medium,42.6K,20.6K,48.3%,176,20,"array, hash-table"
823. Binary Trees With Factors,Medium,286.4K,151.5K,52.9%,3.3K,51,"array, hash-table, dynamic-programming, sorting"
824. Goat Latin,Easy,278.8K,191.5K,68.7%,922,17,string
825. Friends Of Appropriate Ages,Medium,201.7K,96.9K,48.1%,778,21,"array, two-pointers, binary-search, sorting"
826. Most Profit Assigning Work,Medium,383.6K,214.3K,55.9%,2.4K,162,"array, two-pointers, binary-search, greedy, sorting"
827. Making A Large Island,Hard,421.6K,206.3K,48.9%,4K,40,"array, depth-first-search, breadth-first-search, union-find, matrix"
828. Count Unique Characters of All Substrings of a Given String,Hard,142.2K,74.9K,52.7%,2.2K,15,"hash-table, string, dynamic-programming"
829. Consecutive Numbers Sum,Hard,214.6K,90.1K,42.0%,1.4K,16,"math, enumeration"
830. Positions of Large Groups,Easy,191.8K,100.9K,52.6%,882,6,string
831. Masking Personal Information,Medium,42.4K,21.1K,49.9%,170,6,string
832. Flipping an Image,Easy,558.5K,460.7K,82.5%,3.5K,33,"array, two-pointers, bit-manipulation, matrix, simulation"
833. Find And Replace in String,Medium,296.3K,153.9K,51.9%,1.2K,18,"array, hash-table, string, sorting"
834. Sum of Distances in Tree,Hard,248.5K,162.2K,65.3%,5.6K,139,"dynamic-programming, tree, depth-first-search, graph"
835. Image Overlap,Medium,151.6K,96.5K,63.7%,1.3K,17,"array, matrix"
836. Rectangle Overlap,Easy,339.8K,153.6K,45.2%,2K,20,"math, geometry"
837. New 21 Game,Medium,174.2K,78.3K,44.9%,2K,88,"math, dynamic-programming, sliding-window, probability-and-statistics"
838. Push Dominoes,Medium,223.1K,127.8K,57.3%,3.4K,9,"two-pointers, string, dynamic-programming"
839. Similar String Groups,Hard,225.3K,124.4K,55.2%,2.4K,58,"array, hash-table, string, depth-first-search, breadth-first-search, union-find"
840. Magic Squares In Grid,Medium,278.9K,144.2K,51.7%,813,148,"array, hash-table, math, matrix"
841. Keys and Rooms,Medium,676.9K,499.1K,73.7%,6.2K,107,"depth-first-search, breadth-first-search, graph"
842. Split Array into Fibonacci Sequence,Medium,104.7K,41K,39.2%,1.1K,15,"string, backtracking"
843. Guess the Word,Hard,390.4K,150.2K,38.5%,1.6K,43,"array, math, string, interactive, game-theory"
844. Backspace String Compare,Easy,1.8M,874.5K,49.3%,7.6K,86,"two-pointers, string, stack, simulation"
845. Longest Mountain in Array,Medium,338.8K,137.7K,40.6%,2.8K,21,"array, two-pointers, dynamic-programming, enumeration"
846. Hand of Straights,Medium,580K,329.4K,56.8%,3.3K,173,"array, hash-table, greedy, sorting"
847. Shortest Path Visiting All Nodes,Hard,195.6K,128K,65.4%,4.4K,54,"dynamic-programming, bit-manipulation, breadth-first-search, graph, bitmask"
848. Shifting Letters,Medium,230.9K,103.6K,44.9%,1.4K,11,"array, string, prefix-sum"
849. Maximize Distance to Closest Person,Medium,491.3K,237.9K,48.4%,3.2K,30,array
850. Rectangle Area II,Hard,66.8K,36.3K,54.3%,975,7,"array, segment-tree, line-sweep, ordered-set"
851. Loud and Rich,Medium,87.1K,52.6K,60.3%,1.3K,37,"array, depth-first-search, graph, topological-sort"
852. Peak Index in a Mountain Array,Medium,1.3M,896.2K,68.1%,7.7K,173,"array, binary-search"
853. Car Fleet,Medium,592.7K,309.2K,52.2%,3.7K,113,"array, stack, sorting, monotonic-stack"
854. K-Similar Strings,Hard,120K,48K,40.0%,1.1K,8,"string, breadth-first-search"
855. Exam Room,Medium,147.2K,64.1K,43.6%,1.4K,19,"design, heap-priority-queue, ordered-set"
856. Score of Parentheses,Medium,304.5K,194.8K,64.0%,5.5K,17,"string, stack"
857. Minimum Cost to Hire K Workers,Hard,226.9K,144.1K,63.5%,2.9K,145,"array, greedy, sorting, heap-priority-queue"
858. Mirror Reflection,Medium,130.6K,81.5K,62.4%,1.1K,6,"math, geometry, number-theory"
859. Buddy Strings,Easy,766.7K,255.2K,33.3%,3.2K,109,"hash-table, string"
860. Lemonade Change,Easy,655.2K,382.1K,58.3%,2.9K,180,"array, greedy"
861. Score After Flipping Matrix,Medium,187.5K,150.7K,80.4%,2.3K,95,"array, greedy, bit-manipulation, matrix"
862. Shortest Subarray with Sum at Least K,Hard,402.4K,105.5K,26.2%,4.3K,25,"array, binary-search, queue, sliding-window, heap-priority-queue, prefix-sum, monotonic-queue"
863. All Nodes Distance K in Binary Tree,Medium,746.5K,486.4K,65.2%,11.2K,94,"hash-table, tree, depth-first-search, breadth-first-search, binary-tree"
864. Shortest Path to Get All Keys,Hard,149.1K,79.9K,53.6%,2.4K,86,"array, bit-manipulation, breadth-first-search, matrix"
865. Smallest Subtree with all the Deepest Nodes,Medium,204.8K,145.7K,71.1%,2.7K,17,"hash-table, tree, depth-first-search, breadth-first-search, binary-tree"
866. Prime Palindrome,Medium,137.6K,36.1K,26.2%,446,14,"math, number-theory"
867. Transpose Matrix,Easy,600.8K,437.3K,72.8%,3.8K,101,"array, matrix, simulation"
868. Binary Gap,Easy,136.7K,87.6K,64.1%,647,9,bit-manipulation
869. Reordered Power of 2,Medium,184.9K,115.6K,62.5%,2.1K,10,"hash-table, math, sorting, counting, enumeration"
870. Advantage Shuffle,Medium,132.6K,70.1K,52.9%,1.6K,7,"array, two-pointers, greedy, sorting"
871. Minimum Number of Refueling Stops,Hard,355.4K,143.1K,40.3%,4.7K,17,"array, dynamic-programming, greedy, heap-priority-queue"
872. Leaf-Similar Trees,Easy,758K,531.1K,70.1%,4.2K,105,"tree, depth-first-search, binary-tree"
873. Length of Longest Fibonacci Subsequence,Medium,138.3K,67K,48.5%,2K,24,"array, hash-table, dynamic-programming"
874. Walking Robot Simulation,Medium,267.7K,155.1K,57.9%,856,170,"array, hash-table, simulation"
875. Koko Eating Bananas,Medium,1.7M,837K,48.5%,11.1K,349,"array, binary-search"
876. Middle of the Linked List,Easy,2.7M,2.2M,79.5%,11.9K,155,"linked-list, two-pointers"
877. Stone Game,Medium,371K,264.2K,71.2%,3.3K,125,"array, math, dynamic-programming, game-theory"
878. Nth Magical Number,Hard,115.1K,41.1K,35.7%,1.3K,12,"math, binary-search"
879. Profitable Schemes,Hard,138K,66.4K,48.1%,1.8K,40,"array, dynamic-programming"
880. Decoded String at Index,Medium,272.3K,99.5K,36.5%,2.5K,90,"string, stack"
881. Boats to Save People,Medium,733.8K,437.8K,59.7%,6.5K,188,"array, two-pointers, greedy, sorting"
882. Reachable Nodes In Subdivided Graph,Hard,59K,29.9K,50.6%,824,7,"graph, heap-priority-queue, shortest-path"
883. Projection Area of 3D Shapes,Easy,81.4K,59.8K,73.4%,596,29,"array, math, geometry, matrix"
884. Uncommon Words from Two Sentences,Easy,396.1K,298K,75.2%,1.8K,130,"hash-table, string, counting"
885. Spiral Matrix III,Medium,187.4K,158.6K,84.7%,1.5K,236,"array, matrix, simulation"
886. Possible Bipartition,Medium,431.8K,219.6K,50.9%,4.7K,61,"depth-first-search, breadth-first-search, union-find, graph"
887. Super Egg Drop,Hard,278K,78.3K,28.2%,3.7K,33,"math, binary-search, dynamic-programming"
888. Fair Candy Swap,Easy,212.6K,132.7K,62.4%,2.1K,32,"array, hash-table, binary-search, sorting"
889. Construct Binary Tree from Preorder and Postorder Traversal,Medium,149.6K,107.4K,71.8%,2.8K,13,"array, hash-table, divide-and-conquer, tree, binary-tree"
890. Find and Replace Pattern,Medium,252.4K,193.8K,76.8%,3.9K,16,"array, hash-table, string"
891. Sum of Subsequence Widths,Hard,58.1K,22.2K,38.3%,716,4,"array, math, sorting"
892. Surface Area of 3D Shapes,Easy,64.3K,43K,67.0%,575,15,"array, math, geometry, matrix"
893. Groups of Special-Equivalent Strings,Medium,71.7K,51.8K,72.3%,539,18,"array, hash-table, string, sorting"
894. All Possible Full Binary Trees,Medium,231.5K,191.7K,82.8%,5.1K,65,"dynamic-programming, tree, recursion, memoization, binary-tree"
895. Maximum Frequency Stack,Hard,275.6K,183.4K,66.5%,4.7K,23,"hash-table, stack, design, ordered-set"
896. Monotonic Array,Easy,757.3K,465.3K,61.4%,3.1K,60,array
897. Increasing Order Search Tree,Easy,378.9K,297.4K,78.5%,4.3K,20,"stack, tree, depth-first-search, binary-search-tree, binary-tree"
898. Bitwise ORs of Subarrays,Medium,98.9K,39.3K,39.8%,1.5K,19,"array, dynamic-programming, bit-manipulation"
899. Orderly Queue,Hard,110.3K,72.9K,66.1%,1.8K,22,"math, string, sorting"
900. RLE Iterator,Medium,128.3K,76.5K,59.6%,749,9,"array, design, counting, iterator"
901. Online Stock Span,Medium,554.5K,369.7K,66.7%,6.5K,80,"stack, design, monotonic-stack, data-stream"
902. Numbers At Most N Given Digit Set,Hard,108K,46.2K,42.8%,1.4K,8,"array, math, string, binary-search, dynamic-programming"
903. Valid Permutations for DI Sequence,Hard,29.8K,17K,57.2%,726,6,"string, dynamic-programming, prefix-sum"
904. Fruit Into Baskets,Medium,1M,451.2K,45.1%,4.8K,98,"array, hash-table, sliding-window"
905. Sort Array By Parity,Easy,1.1M,845.1K,76.3%,5.4K,68,"array, two-pointers, sorting"
906. Super Palindromes,Hard,64.6K,25.2K,39.1%,365,4,"math, enumeration"
907. Sum of Subarray Minimums,Medium,781K,290.8K,37.2%,8.2K,239,"array, dynamic-programming, stack, monotonic-stack"
908. Smallest Range I,Easy,137.3K,97.2K,70.8%,725,34,"array, math"
909. Snakes and Ladders,Medium,484.6K,212.3K,43.8%,3K,189,"array, breadth-first-search, matrix"
910. Smallest Range II,Medium,157.2K,57.6K,36.6%,1.7K,13,"array, math, greedy, sorting"
911. Online Election,Medium,120.8K,63.1K,52.2%,1K,22,"array, hash-table, binary-search, design"
912. Sort an Array,Medium,1.4M,811.6K,57.6%,6.5K,306,"array, divide-and-conquer, sorting, heap-priority-queue, merge-sort, bucket-sort, radix-sort, counting-sort"
913. Cat and Mouse,Hard,62.1K,21K,33.8%,930,24,"math, dynamic-programming, graph, topological-sort, memoization, game-theory"
914. X of a Kind in a Deck of Cards,Easy,436.8K,130.5K,29.9%,1.8K,39,"array, hash-table, math, counting, number-theory"
915. Partition Array into Disjoint Intervals,Medium,175.3K,85.5K,48.8%,1.7K,15,array
916. Word Subsets,Medium,226.2K,117K,51.7%,2.7K,7,"array, hash-table, string"
917. Reverse Only Letters,Easy,367.2K,241.6K,65.8%,2.3K,27,"two-pointers, string"
918. Maximum Sum Circular Subarray,Medium,635.6K,292K,45.9%,6.7K,72,"array, divide-and-conquer, dynamic-programming, queue, monotonic-queue"
919. Complete Binary Tree Inserter,Medium,88K,58.1K,66.0%,1.1K,9,"tree, breadth-first-search, design, binary-tree"
920. Number of Music Playlists,Hard,119.1K,71.9K,60.3%,2.4K,43,"math, dynamic-programming, combinatorics"
921. Minimum Add to Make Parentheses Valid,Medium,715.7K,533.8K,74.6%,4.6K,194,"string, stack, greedy"
922. Sort Array By Parity II,Easy,382.4K,271K,70.9%,2.6K,13,"array, two-pointers, sorting"
923. 3Sum With Multiplicity,Medium,234.9K,107.1K,45.6%,2.6K,12,"array, hash-table, two-pointers, sorting, counting"
924. Minimize Malware Spread,Hard,135.9K,57.2K,42.1%,1K,33,"array, hash-table, depth-first-search, breadth-first-search, union-find, graph"
925. Long Pressed Name,Easy,473K,152.7K,32.3%,2.5K,60,"two-pointers, string"
926. Flip String to Monotone Increasing,Medium,319.6K,196.7K,61.5%,4.5K,66,"string, dynamic-programming"
927. Three Equal Parts,Hard,77.2K,30.9K,40.1%,837,6,"array, math"
928. Minimize Malware Spread II,Hard,55.6K,24.6K,44.2%,675,8,"array, hash-table, depth-first-search, breadth-first-search, union-find, graph"
929. Unique Email Addresses,Easy,758K,510.5K,67.3%,2.7K,20,"array, hash-table, string"
,,,,,0,0,
931. Minimum Falling Path Sum,Medium,779.5K,487.8K,62.6%,6.5K,172,"array, dynamic-programming, matrix"
932. Beautiful Array,Medium,70.2K,46.4K,66.1%,1.1K,28,"array, math, divide-and-conquer"
933. Number of Recent Calls,Easy,417.3K,319.1K,76.4%,596,102,"design, queue, data-stream"
934. Shortest Bridge,Medium,378.7K,219.7K,58.0%,5.4K,63,"array, depth-first-search, breadth-first-search, matrix"
935. Knight Dialer,Medium,299.7K,181.9K,60.7%,3.1K,70,dynamic-programming
936. Stamping The Sequence,Hard,95.3K,59.6K,62.5%,1.5K,11,"string, stack, greedy, queue"
937. Reorder Data in Log Files,Medium,664.3K,375.7K,56.6%,2.1K,26,"array, string, sorting"
938. Range Sum of BST,Easy,1.3M,1.1M,87.1%,7K,136,"tree, depth-first-search, binary-search-tree, binary-tree"
939. Minimum Area Rectangle,Medium,281K,152.9K,54.4%,2K,18,"array, hash-table, math, geometry, sorting"
940. Distinct Subsequences II,Hard,97.8K,42.4K,43.3%,1.7K,4,"string, dynamic-programming"
941. Valid Mountain Array,Easy,1.3M,450K,33.6%,3K,36,array
942. DI String Match,Easy,210.2K,166.8K,79.4%,2.5K,31,"array, two-pointers, string, greedy"
943. Find the Shortest Superstring,Hard,68.8K,30.5K,44.3%,1.5K,15,"array, string, dynamic-programming, bit-manipulation, bitmask"
944. Delete Columns to Make Sorted,Easy,263.3K,196.7K,74.7%,1.7K,107,"array, string"
945. Minimum Increment to Make Array Unique,Medium,406.2K,244.1K,60.1%,2.7K,144,"array, greedy, sorting, counting"
